original_index,sentence,sentiment,translation_en,translation_hi
301,hope see babi weekend high doubt 🥺 ugh nan,neutral,hope to see you this weekend but highly doubtful 😭 ugh man,"आशा करता हूँ आप हफ्ताहाई मिलेंगे, बहुत संदेह है 😭 अर्ग"
303,teri ka sakinaka tujh bhadi chinta ho rahi aaj ab 2014 se pehl bhadv log beth tab tu dudh,negative,"Your carelessness is worrying me today, you've been sitting around like that since before 2014, doing nothing.","तेरी का सकिनका तुझ बहदी चिंता हो रही आज, अब 2014 से पहले भादव लोग बैठ तब तू दूध"
313,isko zammen chayiy bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul pm dikh,neutral,"This is just a matter of time, sometimes he praises Akhilesh and sometimes he appears as Rahul PM.","इसको जमीन चाहिए, बस दोगमा है, ये कभी अखिलेश की तरहफ़्ता करता है और कभी राहुल पीएम दिखाई देता है।"
331,jai shri ram jai shri krishna jai bajrang bali jai bholenath ! ! ! hum log boln lage rukeng nahi,negative,"Jai Shri Ram, Jai Shri Krishna, Jai Bajrang Bali, Jai Bholenath!!! We people started talking and won't stop!",जय श्री राम जय श्री कृष्ण जय बजरंग बली जय भोलेनाथ !!! हम लोग बोलने लगे रुकेंगे नहीं
337,rao hindi tumhari bass ki nahi nahi seekh paog dart ho kahin hindi mark hi nahi,negative,"I haven't learned your damn Hindi at all, I'm afraid I won't even get a passing mark.",राव हिंदी तुम्हारी बस की नहीं नहीं सीख पाओगे डरते हो कहीं हिंदी मर्क ही नहीं
344,hamyat tu khota khor corrupt ganj ki bhi kert thi kia ukhar lia unhon ne lanat tere te patwari nan,negative,"you were also a bad element, a corrupt gang member, and they cursed you and the patwari too","हम तुझे ख़राब खोर और घन्ट की भी करते थे, क्या उन्होंने लानत तेरी पतवारी नहीं की?"
347,io sale today nxttakeoverxxv entranc mask qualiti nice 👍🏻 even back side come soon nan,positive,The salt for today's NXT TakeOver XXV entrance mask quality is nice 👍🏻 and even the back side will be coming soon.,io आज सेल है nxttakeoverxxv एंट्रेंस मास्क की गुणवत्ता अच्छी 👍🏻 पीछे की ओर भी जल्द ही आएगा नैन
348,ch1 pakeeza languag ka istema tu koi nooni bhayoon se poochhay youthi pe aewen e critic kart hain yeh bhi sahb nan,neutral,Chapter 1 discusses how certain critics question the use of pure language by the youth these days.,"चैनल पाकीज़ा भाषा का इस्तेमाल करते हैं, तुम्हें कोई नूनी भाषा से पूछने योग्य नहीं है, जवानों पर आए तो ऐसे आलोचना करते हैं, यह भी साबित हो गया।"
352,gulwish nahi wo news ko defend kern ki koshesh ker rhe hain,neutral,they are not trying to defend that news,वो न्यूज़ को डिफेंड करने की कोशिश कर रहे हैं
353,murali noon care boycott world cup till nesamani recov attack krishnamurthi arrest nan,neutral,Murali doesn't care about boycotting the World Cup until Nesamani recovers from the attack and Krishnamurthi is arrested.,मुरली नून केयर बहस्तार विश्व कप टिल नेसामनी रिकवर अटैक कृष्णमूर्ति अरेस्ट नन
359,ahmad884 1971 😂🤣🤣 lulli hoti nahi khadi baten karalo badi badi,neutral,"ahmad884 1971 😂🤣🤣 it's not funny, let's talk about serious things",अहमद884 1971 😂🤣🤣 लल्ली होती नहीं खड़ी बातें करालो बड़ी बड़ी
362,dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman baar paak daman ho gaya momin khan momin nan,neutral,The tears of repentance washed away my sins; what was once a stained hem became the pure hem of Momin Khan Momin.,धो दिया आश्क-ए-नादमत ने गुनाहों को मेरे तर हुआ दमन बार पाक दमन हो गया मोमिन खान मोमिन नन
373,beta nafrat tum jais jahil ( illiter ) failat hain pata nhi kon si phd chal rhi h,negative,"son of a fool, I don't know what kind of PhD you're running","बेटा नफरत तुम जैसे जाहिलों में फैली है, पता नहीं कौन सी पीएचडी चल रही है"
404,one favorit anoth one begin movi chhoti-chhoti chitrayi yaadein,positive,one favorite another one beginning movie little memories,एक पसंदीदा और दूसरा शुरुआत के सिनेमा की छोटी-छोटी यादें
414,mansoor ali tera nam taray ander ki jalan btaa raha hai sari duniya main oil price,negative,"Mansoor Ali, your name is being dragged through the mud because of the oil prices all over the world.","मंसूर अली, तेरा नाम दुनिया भर में तेल की कीमत की ज़लाएं बता रहा है।"
428,jai bheem great news bahujan kumbkarnaa becoz happen kick st,neutral,"Jai Bheem, great news for the Bahujan Kumbharna because it's happening soon.","जय भीम बहुजन कुंबकर्ण के लिए अच्छा समाचार है, क्योंकि हेप्पन ने किक स्टार्ट कर दिया है।"
430,u love one person gave fuck u dead - ) nan,neutral,u love one person gave fuck you very much - ) nan,एक व्यक्ति ने आपको फक यू देखा - ) नन
434,zaini en ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye ais nahi samaj,positive,"Zaini's stories about his adventures and historical places are filled with charm, sis, you don't understand it like that.",जैनी इनकी शानदार कहानियों से तारीख का आराम भरा परे है बहन ये ऐसा नहीं समझ
439,color tum india wale sari yahi sochti ho ki pakistan wale atankistan h par nhi kuch log lagti h thik pakistani bhuta achi h nan,positive,"I think you Indians always assume that Pakistanis are terrorists, but not all of them; some Pakistani people are really nice though.","तुम इंडिया वाले सब ऐसी सोचते हो कि पाकिस्तान वाले आतंकवादी हैं पर नहीं, कुछ लोग अच्छे लगते हैं, ठीक पाकिस्तानी बहुत अच्छे हैं।"
441,rohit bhai big fan want meet nan,positive,"Rohit brother, big fan, wants to meet Nan","रोहित भाई बड़ा प्रेमी हैं, वे नान से मिलना चाहते हैं।"
450,lanat bhejta hn tun pe tmare harami leader niazi pe nan,negative,"I curse you, you bastard leader, you need a bath","तुझे लानत भेजता हूँ, तुम्हारे हरामी लीडर नियाजी पे नन"
451,dont slay 🤣🤣🤣🤣🤣 inta serious nahi leneka segment ko segment pure fun 80 % nonsens cast make sens nan,negative,"don't slay 🤣🤣🤣🤣🤣 you're not taking this segment seriously, it's all for fun, 80% nonsense, even the cast doesn't make sense",मत स्ले �🤣🤣🤣🤣🤣 इंटा सीरियस नहीं लेना ये सेगमेंट पूरा फन है 80% नॉनसेंस कास्ट मेक सेंस नहीं
452,kutta bhonkn lga bhaiyo firs sale gale patt,negative,bitch slap me bro then bastard choke hold,कुत्ता भोंकन लगा भाईयो फिर सेल गले पट्ट
462,world cup mein mard nahi khusr gae hein jo larna nahi twitter per k sath talian bajana jaant hein nan,negative,"In the World Cup, those who didn't fight on the field but know how to argue on Twitter are not real men.",विश्व कप में लड़ाई नहीं लड़ने वालों ने तो ट्विटर पर ही युद्ध किया है
466,bhaijaan ji pleas mein apka bahot bahot bada fan hoon pleas meri jindagi bachalijiy pleas mein,neutral,"Brother please, I am your very big fan, please save my life please.",भाईजी जी प्लेस मैं आपका बहुत बड़ा फैन हूँ प्लेस मेरी जिन्दगी बचालिए प्लेस मैं
489,scene sahil propos vedika dialogu magic inde coz n't heard,positive,The scene where Sahil proposes to Vedika is magical because I haven't heard anything like it before.,"स्कीन में साहिल ने वेदिका को प्रोपोज़ल दिया, डायलॉग मैजिक था क्योंकि पहले सुना ही नहीं था।"
495,bhauji tohra ka haal ba tu kahe ludhak gailu eka matlab akhilesh bha,neutral,"Bhauji, how is your health? And what about yours, you silly guy?",भौजी तोहरा का हाल बता तु कहे लुधक गया एक मतलब अखिलेश भाई
497,scratch kfc ke bhi auqaat nahi rahe today 's defeat - pesay doob gaye sarfi ke chakaar main andaay,negative,even kfc's scratch cards couldn't save us from today's defeat - all our money went down the drain in unnecessary expenses,के एफ सी के स्क्रैच भी अवकाश नहीं रहे आज की हार में - पैसे सरफ़ि के चकार में डुब गए
505,dsscampaignagainstdrugabus papa ji aj mera p hd entranc exam tha ap ji ki rehmt se bahut acha ho gy nan,positive,"Thanks to your blessings, my entrance exam went really well today, sir.",dsscampaignagainstdrugabus पापा जी आज मेरा पीएचडी एंट्रेंस एग्जाम था आप जी की रहमत से बहुत अच्छा हो गया
508,muslim sab e qadar mubarak 💓💓💓,positive,wishing all my muslim friends a very happy and blessed Eid 💓💓💓,मुस्लिम सब इक़्दार मुबारक 💓💓💓
512,rj kai bar product khrab nhi hota logo ki choic khrab hoti hai product ki,neutral,"rj's products are not always bad, it's people's choices that are bad about the product.","आरजे कई बार प्रोडक्ट खराब नहीं होता, लोगों की चुनाव खराब होती है।"
531,aaiy aapka intezaar tha damn ! ! ! ! ! kitna khoobsurat hai yeh ladka mashallah 😘😘😘 ca n't wait new season,positive,"Oh, I was waiting for you, damn! How gorgeous this guy is, mashallah 😘😘😘 Can't wait for the new season",आइये आपका इंतजार था डैम्न!!!! कितना सुंदर है यह लड़का मशाल्ला 😘😘😘 नई सीज़न का इंतजार नहीं हो सकता
532,zeeshan09 love u bhaijan father + son bharat iambharat best pic entir promot mashallah 👌♥🔥,positive,"Zeeshan09 loves you, brother. Father and son, Bharat. I am Bharat. Best picture, total promotion. Mashallah 👌❤️🔥",जीशान09 तुम्हें प्यार करता हूँ भाइजन पिता + पुत्र भारत मैंभारत सबसे अच्छा फोटो पूरी तारीफ मशाल्लाह 👌❤️🔥
559,saheb tera jat talbani jess harqat kyu kar tahe masum logo ko kyu marta tab tera ammi kaha mar jate,negative,"Master, why do you make such efforts to kill innocent people? Then where does your mother go to die?",साहब तेरा जात तलबानी जैसी हरकत क्यों कर ता है मसूम लोगों को क्यों मार ता है तब तेरी आमी कहाँ मर जाते
561,mazhab ke naam par elect jeetna koi bada kaarnama nahi hota messag,negative,"winning elections in the name of religion is no great achievement, message",मज़हब के नाम पर चुनाव जीतना कोई बड़ा कारनामा नहीं है।
566,dhol serious one best post seen bravo nd respect nan,positive,"Dhol, you're seriously the best! Great post, bravo and respect!",ढोल सरीयस वन बेस्ट पोस्ट सिएन ब्रावो और रिस्पेक्ट नैन
569,may allah bless us strong imaan taqwa pieti pure heart good manner 🌹 ya allah give eye se nan,positive,"May Allah bless us with strong faith, piety, a pure heart, and good manners 🌹 Oh Allah, give us what we see in our hearts.","मय अल्लाह हमें मजबूत ईमान, तकवा, पियती, साफ़ दिल और अच्छे तौर पर बनाएं 🌹 या अल्लाह आंखों से नान दें"
570,chiller man give big jhtka nsecoloscam made laugh stock,neutral,chiller man gave a big joke on nse stocks which made people laugh,चिलर मैन ने बड़ा ज्हटका दिया और स्टॉक को हंसा
577,u thing ppl u ador u want 's transact 's give & take u 's u r su nan,neutral,"you think people who adore you want something in return, it's give and take, you are so naive","तुम सोचते हो लोग जिन्हें तुम प्यार करते हो वे भी तुमसे प्यार करते हैं, यह एक दे और लेने का मामला है, तुम ऐसे हो बहुत नाइन"
583,apn desh ke logo ko thug kar chala sanjeev kapoor world cup dekn nan,negative,Sanjeev Kapoor looted our countrymen and made them watch the World Cup.,अपने देश के लोगों को चोरी करके संजीव कपूर विश्व कप देखने गया।
591,ab ye btaega iss pucho tere jiyn b mla hai usm se gina hindu mla kaunsa hai teri muslim awaadi wale gaao,neutral,Now tell me in this constituency which party has an MLA and which one is the Hindu MLA in your Muslim majority area,अब ये बताएगा इस पुछो तेरे जिले में MLA है उनमें से गिना हिंदू MLA कौनसा है तेरे मुस्लिम आवासी वाले गाँव
614,haaa lie think buy new pair bc put shit charger minut 😂 nan,neutral,haaa let's think about buying a new pair because I put the charger in for a minute 😂 man,हाँ लाइट थिंक बाय नया पेर क्योंकि पुट शिट चार्जर मिनट 😂 नैन
619,bhai yeah glass wali admi kon hai jo appki har pic main hota hai ... ? nan,neutral,dude who's that guy in the glasses who appears in every one of your pics...? lol,भाई ये ग्लास वाला आदमी कौन है जो तुम्हारी हर पिक्चर में आता है...?
620,mumta bano mhatma ghandhi ki smadhi pe nhi jayegi kyu vhan ghandhi ji ke akhi nan,neutral,Mumtaz Bhano will not go to Mahatma Gandhi's samadhi because of the dust in Gandhi Ji's eyes.,मुम्ताज़ बनो महात्मा गांधी की समाधि पे नहीं जाएगी क्यूंकि वहाँ गांधी जी की आँखें हैं
626,india modi ji aaan k baad muslim sa,neutral,"After Modi came to power in India, Muslims",इंडिया मोदी जी आने के बाद मुस्लिम साथ
628,boy kiya age hy tmhri ✴❔❓⁉ girl 17❗😏 boy mine love 😗❤💓 girl 'm taken 💏 boy abhi tmhri umer hi,neutral,What's your age? Girl is 17. Boy is in love. Girl is taken. Boy is still your age.,लड़के की उम्र तुम्हारी है ✴❔❓‼ लड़की 17 है❗😏 लड़का मेरा प्यार है 😗❤💓 लड़की मैं लीन हूँ 💏 लड़का अभी तुम्हारी उम्र ही है
651,ali 9 btw kisi jhootay maseeha ko maseeha man leni sy qafir nahi ho jata koi k,negative,"but even if someone considers a false messiah to be the messiah, they don't become an infidel just by that.",ali 9 फिर किसी झूठे मसीहा को मसीहा मानने से कोई कुफ्र नहीं हो जाता
655,mc hai sala sale lo jyada ghamand hai kuch din ruk sale tera ghamand dur ho jayega,neutral,"mc you are a fool, you are too arrogant, wait for some time, your arrogance will go away",mc है सला सेल लो ज्यादा गमंद है कुछ दिन रुक सेल तेरी गमंद दूर हो जाएगी
662,pathan 14 ikk toh sarkar job ni de rhi upper se apn india ke log kaam karna nahi chahat,neutral,"Pathan 14 and the government is not giving jobs, meanwhile our people in India do not want to work.","पातन 14 इक्क तो सरकार नौकरी नहीं दे रही है, ऊपर से अपने भारत के लोग काम करना नहीं चाहते"
669,han chara ghotal mein bhi laloo ne kitney hi gavahon ki maut ke ghat utar diya nan,negative,"in that train accident, laloo caused the deaths of many passengers too","हान, चराघोटल में भी लालू ने कितने ही गवाहों की मौत का घाट उतार दिया।"
677,🏵️ good morn papa ji plz bless sewa sumiran parmarth ka bal bakhshna ji dhan dhan sa,positive,"Good morning Papa ji, please bless the service, remembrance, and transformation of the soul. Bless the child with wealth and honor. Dhan dhan sa.",".FLAG good सुबह पापा जी कृपया सेवा, स्मरण और परमार्थ के बल देना जी धन धन सा"
685,qau pakistani girl photo without pakistan ka karz ada karo pakistani girl heera mandi mein bata karz,neutral,Show me photos of Pakistani girls without mentioning Pakistan's debt. Tell about the debt in Heera Mandi.,पाकिस्तान की लड़की की फोटो पाकिस्तान का ऋण चुकाओ पाकिस्तानी लड़की हीरा मंडी में बताओ ऋण
691,boi kdo unpract cool sword seen nan,neutral,dude whoa such a cool sword though,बहुत कुछ अनप्रैक्टिकल कुंभक देखा है।
701,journal k bare bt ki jbhi isko ye cripption ka certif dia gaya h nan,positive,"Whenever I talk about the journal, it's always mentioned that I got this cryptography certification.",जर्नल के बारे में जबही इसको यह क्रिप्टोग्राफी का सर्टिफिकेट दिया गया है।
704,sir prashant dhawan kohinoor studi iq best teacher current aff,positive,Sir Prashant Dhawan is the best teacher for current affairs at Kohinoor Study IQ.,सर प्रशांत धवन कोहिनूर स्टडी IQ के सबसे अच्छे शिक्षक हैं।
734,last check mp congress ki sarkar hai law order state subject nan,neutral,"last check the MP government is in power, law and order is a state subject","अंतिम चेक में MP कांग्रेस की सरकार है, लॉ और ऑर्डर राज्य का विषय है"
740,yeah jo aap hamara roza kharaab karay hain na yeh uss ka notic hay lol allah aap ko aur aap ki famili,neutral,"Yeah, what you do to ruin our day, well that's noticed, lol may Allah take care of you and your family","जी हाँ जो आप हमारा रोज़ा खराब करते हैं, यह उसका नोटिस है लॉल अल्लाह आपको और आपकी परिवार"
746,desh ke gaddaro ke liy 5 saal bahut pain hoge kyoki mota bhai home minist india 🇮🇳 💪😜😜,neutral,5 years will be too light for the traitors of the country because big brother is the home minister of India 🇮🇳 💪😜😜,देश के गदारों के लिए 5 साल बहुत पेन होंगे क्योंकि मोटा भाई होम मिनिस्ट्र इंडिया 🇮🇳 💪😜😜
748,🌺 ekto aap log 😉 muskur bhut ho sharmat 😆 bhi bhut ho dil karta hi aaplogon ko eid pr bolaun ..…,positive,🤗 You guys 😉 make me smile and blush 😆 my heart just wants to say Eid Mubarak to all of you...,🌺 एक्टो आप लोग 😉 मुस्करा बहुत हो शरमिंदा 😆 भी बहुत हो दिल करता है आपलोगों को ईद पर बोलना..…
764,nice joke tmhare ghaddaron ko danda janay waala hai landay ka istim maal pakra hai ussay,neutral,"nice joke, those big guys got what they deserved","अच्छा जोक है, तुम्हारे गधरों को दण्ड देने वाला है, लंबे का इस्तिम माल पकड़ा है उसे"
765,antar atma ko bech diya hain jab tak beijjat kark bhagaya nahi jata tab tak nahi hilega lekin rahe,positive,"I have sold my inner self, but I won't budge until I am driven away with honor.",अंतर आत्मा को बेच दिया है जब तक बेइज़्ज़त करके भगाया नहीं जाता तब तक नहीं हिलेगा लेकिन रहे
781,khan sahab apko vote diya taki ap pm bani alhamdulillah ap bani bi pm 😘😘😘 magar khan sahab ab gabraht ho rahi,neutral,"Khan Sahab voted for you so that you could become PM. Alhamdulillah, you did become the PM 😘😘😘 but now Khan Sahab is getting worried.","खान साहब आपको वोट दिया ताकि आप पीएम बने, अल्हमदुलिल्लाह आप भी पीएम बन गये 😘😘😘 लेकिन खान साहब अब टेंशन में हैं।"
797,sir mere / c se 22-04-2019 ko rs1180 /= deduct ho gaya hai kekin branch offic kahta ki mai nahi janta ki k,neutral,"Sir, on 22-04-2019, Rs 1180 was deducted from my account, but the branch office says they don't know why.",सर मेरे / सी से 22-04-2019 को रु1180 /= घटा हो गया है लेकिन शाखा ऑफ़िस कहता है कि मैं नहीं जानता कि क
800,amrann even nice second smh 😓 salaam love 😩 nan,neutral,amrann even nice second smh 😓 hello love 😩 nan,अमरन भी अच्छे सेकंड स्मएह 😓 सलाम लव्ह 😩 नन
805,aapko bahut bahut badhai ho amitshah ji asha kart hain ki aap bhi modi ji ki tarah hi hama,neutral,Congratulations to Amit Shah ji. I hope you will be just like Modi ji.,"आपको बहुत बहुत बधाई हो अमित्शाह जी, आशा करते हैं कि आप भी मोदी जी की तरह ही होंगे।"
807,would bring great joy hear rendit des ree “ got ta ” . sayin xoxo nan,neutral,It would bring great joy to hear 'rendit des ree' 'got ta'. Saying xoxo nan.,सुनने को रेन्डिट दी री 'गॉट टा' से महत्वपूर्ण खुशी होगी। कहते हैं xoxo नान
809,mera khayal apki nazron se woh document nehein guzra jis apk papa ne bahir janey keley mushar,neutral,I think that document didn't pass through your eyes which your father took outside for consultation.,मेरा खयाल आपकी नज़रों से वह दस्तावेज़ नहीं गुजरा जिसके लिए आपके पापा बाहर जाने का मुशारा है
818,one one jane virgin narrat knoow straight telenovela right ? ? ? ? ? nan,neutral,"One by one, Jane the Virgin narrative, you know, straight telenovela, right? ?",एक एक जाने वर्जिन नारेट क्नो सीधी टेलेनोवेला है नहीं ?
822,bhai plz bhagwan kre bharat acchi movi ho qki dedepyard jitna,neutral,bro please let India be a good movie because Dedeyard was so good,भाई प्लीज़ भगवान करे भारत अच्छी मूवी हो क्योंकि डेडपॉल जितना
824,wish bro happi birthday mani hit way togeth 🙏😊 thankyou give music nan,positive,"Wish you a happy birthday, man! Many hits on your special day. Thank you for giving us music, bro.",wish भाई हैप्पी बर्थडे मनि हिट वेतो से एकसाथ 🙏😊 धन्यवाद दे नाम की संगीत
842,apki aik gawahi ne mannat ko pagal saabit kerdia hai watch cheekh tonight 1000 pm arydigit,neutral,"Your one witness has proven Mannat to be crazy, watch Check Tonight at 10:00 PM on Ary Digital","आपकी एक गवाही ने मन्नत को पागल साबित कर दिया है, वॉच चीख़ टूनाइट 10:00 PM ARYDigit"
851,listen first jojo siwa song ... ... ... ... . fan lol nan,neutral,listen to the JoJo Siwa song... fan lol nan,पहले जोजो सिवा गाना सुनो... ... ... ...। फ़ैं लॉल नैन
856,sara masla hi band ki wajh se hai yehi fasad ki jar hai ko team nhe chalan ati palyer ka ap men hasd hai nan,neutral,"All problems are due to this mess, there's chaos because the player doesn't play well in the team, there's jealousy among them.","सारा मसला ही बैंड की वजह से है, यही फासद की जरूरत है, कोई टीम नहीं चलाती प्लेयर का अपने में हश्द है नहीं।"
866,sk chetan adarsh abe chutiy tera crimin jaisa ghatiya public stunt nhi kr rha h n jo unnec,negative,"Sk Chetan Adarsh, you fucking piece of shit, your crime is as bad as that unnecessary public stunt you're not even doing properly.",स्क चेतन अदर्श अबे चुतिया तेरा क्रिमिन जैसा घटिया पब्लिक स्टंट नहीं कर रहा है न जो अनेक्स
873,613 kung hnd ko pa checheck bat ka dm ko mukha ni jungkooki hnd ko maalala na ikaw hahaha nan,neutral,"613 I haven't checked yet, but your face looks like Jungkook's, I can't remember you hahaha",613 कुंग हैंड को पा चेक कर दे तो डम को मुख़्तार निजंकुकी हैंड को मालूम है ना तू हahaha
876,babi amaz job today hope feel good wish would hotel room wate yo,positive,"Babe got an amazing job today, hoping it feels good. Wishing they would get a hotel room too.","बेबी ने आज एक अच्छा जॉब मिला, उम्मीद है वो अच्छा महसूस करेगा। फिर होटल कमरा वाते यो।"
880,dil k khush krni ko ghalib khyal acha ha myth 😂,neutral,thinking about Ghalib to cheer up the heart is a good idea myth 😂,दिल को खुश करने का ग़ालिब की हवा अच्छा मायथ 😂
881,allah jise chahe izaat de r jise chahey zilat dt dua ha allah nawaz shareef ko us k khandan ko r u,neutral,"May Allah give honor to whom He wishes and disgrace to whom He wishes. This is a prayer for Allah Nawaz Sharif, his family, and you.","अल्लाह जिसे चाहे इज़्ज़त देता है और जिसे चाहे जिल्लत देने की दुआ है, अल्लाह नवाज़ शरीफ़ को, उसके ख़ानदान को र उ"
885,ngk good one kudo hero offl nan,positive,"not bad at all, you're doing great offline though","अच्छा ही है, कुडो हीरो ऑफ़लाइन नहीं है"
