original_index,sentence,label,translation_en,translation_hi
20,Arsi bahar jani chahiye.... I hate arsi khan,hate,Arsi Khan should go to hell.... I hate Arsi Khan,अर्सी को बाहर जाना चाहिए.... मैं अर्सी खान से नफरत करता हूँ
21,Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,non-hate,"Alright, you told us we didn't even watch the show. Just complaining about nothing, just being a MA and hating on Hina.",अच्छा बता दिया हमने तो शो ही नहीं देखा था। खबर करता कुछ नहीं सिर्फ़ माँ बनता है कर हिना को हैट।
22,"Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",hate,Agencies from Karachi kill Punjabis and Pashtuns and send their bodies to villages to incite hatred against Muhajirs.,कराची से एजेंसियाँ पंजाबियों और पठानों को मारकर उनकी लाशें गावों में भेजती हैं ताकि मुहजिरों के खिलाफ नफरत उत्पन्न हो
23,Kaahe ke Hindu bhamhanwadi se nafrat hai bus,non-hate,Why do Hindus hate Muslims so much?,काहे के हिंदू भमहनवादी से नफ़रत है बस
24,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,non-hate,"Hey, post that photo of what she got hit with from behind quickly.",आज अर्शी ने जो लाट इसके पिछवाड़े में मारी थी वह फोटो त्विट करो भाई जल्दी से।
25,Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,non-hate,Are you trying to find out who wants to put bones in this hyena's mouth or kick it like a donkey.,अर टैग करो कि कौन-कौन इस हायेना के मुंह में हड्डी देना चाहता है या आर्शी की तरह लाट मारना।
26,Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,non-hate,A girlfriend exists to suck blood and just to get her man arrested.,गर्लफ्रेंड खून पीने के लिए होती है और अपने बाबु को थाना टिलाने के लिए बस
27,Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,hate,Yeah man. This hatred from those fuckers has come at the time of our gathering. Let's screw these haters!! @addiadn1989 #WeSupportPadmavati,हाँ भाई। ये चूतिया लोग की हेटर्ड अपने लिए मिलन की बेला बनकर आयी है। आइए इन हेटर्स से सॉक्रुआई कर दें!! @addiadn1989 #WeSupportPadmavati
28,Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,non-hate,"Hey, Bigg Boss show has other contestants too, but they don't give any news about them...they only give all updates related to Hina...and even those are full of hate...the guy keeps spreading crap about Hina.",अरे बिग बॉस शो में बाकी प्रतियोगी भी हैं उन से रिलेटेड न्यूज़ देता नहीं...सिर्फ़ सारी अपडेट्स हीना से रिलेटेड देता है...वो भी हैट वाली...खबरी है बकरी चबार चबार करता रहता हीना के बारे में
29,Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: http://youtu.be/9Kh_U6kZmqM?a  via @YouTube,non-hate,Stone Miracle of Hazrat Imam Hussain (RA) | The Stone from Which Blood Still Flows: http://youtu.be/9Kh_U6kZmqM?a via @YouTube,हज़रत इमाम हुसैन (रज़ा) का पाथर की मुज़िक़्क़त | वो पथर जिस से अब तक खून बहता है: http://youtu.be/9Kh_U6kZmqM?a via @YouTube
30,Pappu ka ye saja phansi se kam nahi,non-hate,This punishment for Pappu is no less than hanging.,पप्पु का ये सजा फांसी से कम नहीं
31,Sir phansi nahi. .. sirf looted money wapas chaiya,non-hate,"Sir, not hanging. .. just want the stolen money back",सर पंजी नहीं... सिर्फ लूटे हुए पैसे वापस चाहिए
32,"Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",hate,"Bro, these people believe in honor killings, they’ll rape someone else’s sister day and night, but if anyone even comments on their sister, they threaten murder.","भाई, ये लोग हॉनर किलिंग में विश्वास रखने वाले हैं, खुद दूसरी की बहन को दिन रात चड़ाएंगे, किसीने इनकी बहन पर टिप्पणी भी की तो मर्डर की धमकी देते हैं"
33,Aap log kabhi America ki dalali karto kabhi nafrat,non-hate,You people sometimes act as America's agents and spread hatred,आप लोग कभी अमेरिका की डालाली करते कभी नफ़रत
34,Agar isse love kehte toh hum jo karte usse kya hate?  @ChawalaRiya @Yashika12_K9https://twitter.com/DrrrSanket/status/928631679995879424 …,non-hate,"If we call this love, then what would we call what we do? @ChawalaRiya @Yashika12_K9 https://twitter.com/DrrrSanket/status/928631679995879424 ...",अगर इसे प्यार कहते हैं तो हम जो करते हैं उसे क्या नफरत? @ChawalaRiya @Yashika12_K9 https://twitter.com/DrrrSanket/status/928631679995879424 ...
35,bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,non-hate,"bitch, who was the first one to say 'hail hitler' if not #adolfhitler, everyone would be calling him names and giving him street scum insults",bc पहली बार किसने हेल हिटलर कहा है नहीं तो #अडोल्फहिटलर को सब सड़कचाप वाली गालियाँ देते हैं
36,#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,hate,#Narendra Modi you are a hopeless PM... You have killed the poor...... I hate you.... You just talk nonsense and do nothing...... You are a fake person,"#नरेन्द्र मोदी आप एक बेुमिदा प्रधान मंत्री हैं... अपने गरीबों को मार डाले...... मैं आपसे नफरत करता हूँ.... सिर्फ आप बोल बच्चान करते हैं, कुछ भी नहीं करते...... आप एक झूठा व्यक्ति हैं"
37,Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,non-hate,Provinces or Banana is a good thing. But being born Pakistani is something to be proud of. Every word breeds hatred. Not good.,राज्य या प्रदेश बनना अच्छी बात है। लेकिन पाकिस्तानी बन जाना तो गौरव की बात बन गई। हर बार नफरत। अच्छा नहीं।
38,Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,non-hate,"So, are they going to implement a quota system for them? Or will they be kicked out of Punjab like how refugees were kicked out from Sindh? Will their industries be nationalized? Did Punjabis shout at them in hatred like Sindhis used to shout at us? Punjab accepted them but Sindhis did not accept us.",अच्छा तो उन पर कोटा सिस्टम लगाया? या उन्हें पंजाब से बाहर निकाल दिया जैसे मुहाजिरों को सिंध से निकाला गया? उनकी औद्योगिक कारखाने राष्ट्रीयकृत हो गए? पंजाबियों ने उन्हें घृणा से फुंक दिया जैसे सिंधी ने हमें फुंका करते थे? पंजाब ने उन्हें स्वीकार किया लेकिन सिंधी ने हमें नहीं स्वीकार किया?
39,Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,non-hate,"Bhutto didn't get hanged, he was just fooled...Tell Niazi to take back his mercy petition and get hanged, then maybe they will accept and also stop sending dirty messages.","भूट्टो साहब जुके नहीं, फाँसी चढ़ गए...नियाजी से कहो माफीनामा वापस लेकर फाँसी चढ़ जाए, फिर मान लो और गंदे संदेश भी छोड़ पाओगे"
40,Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,non-hate,"Pervez Musharraf... Unlike Nawaz Sharif, he wasn't a greedy thief who looted people's money at least... Hang Nawaz Sharif with a gang of thugs.",परवेज मुशरफ...नवाज शरीफ की तरह हरामखोर चोर और आवाँ का पैसा लूटने वाला नहीं था कम से कम.. हरामखोर नवाज शरीफ को फांसी दो मोटो गंग के साथ
41,Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,non-hate,The laws from the country where there is the least amount of rape should be implemented in India. Only then can these cowards be treated.,जिस देश में सबसे कम रेप होते हैं वहाँ का कानून भारत में लागू होना चाहिए। तभी इन डरपोकों का कुछ इलाज हो सकता है।
42,Dont hate. You nanhi si jaan. Aur ek tu woh b,non-hate,Don't hate. You little thing. And you are so naive.,न हैट करो। तुम नानी सी जान। और एक तु हूँ वोह भ
43,mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,hate,"I have hatred for both, but my hatred for the BJP is so strong that I will never vote for them in my life. Because this party is not even worthy of votes.",मुझे तो दोनों से ही नफरत है। पर बीजेपी से मुझे इतनी नफरत है कि जीवन में इसका वोट नहीं दूंगा। क्योंकि ये पार्टी वोट के लायक ही नहीं है।
44,Ye shocked h Kya Lat padi h ise Arshi se jabardast.....Or khana khayegi n zillat ke laddu Salman ne bhijwa diye,non-hate,This shocked me! What happened when he met Arshi... And she won't eat anything except the sweets Salman sent.,"ये शोक्त है कि इसे अरशी से जबरदस्त लाट पड़ी.....और खाना नहीं खाएगी, जिल्लत के लड्डू सलमान ने भेज दिए"
45,Haha farzi hatred spreading moron @shaileshgam  blocked me.....,non-hate,Haha fake hatred spreading moron @shaileshgam blocked me.....,हाहा फर्जी घृणा फैलाने वाला मूर्ख @shaileshgam मुझे ब्लॉक कर दिया......
46,ye vidya salman se bhut bdi celebrity h.,non-hate,this vidya is a much bigger celebrity than salman.,ये विद्या सलमान से बहुत बड़ी सेलिब्रिटी है।
47,Ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante hai..ye nafrat pahelane log apke guru ho sakte mera nahi..mere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,non-hate,"These days, people praise those who understand the hearts of great men like Dr. Ahmed or Tarek Fatah... these hatemongers could have been your gurus in the past, but not mine. For me, someone like Vivekanand, who said Hindus, Muslims, every Indian is my brother, is the real deal.",अब तो उसे बेहतर कहा जाता है जो डॉ॰ अहमद या तारेक फटह जैसे महापुरुषों को दिल से मानते हैं..ये नफ़रत पहले आपके गुरु हो सकते मेरे नहीं..मेरे लिए विवेकानन्द जैसे साक्षात् जो कहते थे हिंदू या मुस्लिम हर भारतीय मेरा भाई है
48,"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",hate,"As Akshra, I hate Hina Khan, but ever since she showed herself in this house, I respect her. Man, no matter how many mistakes she makes, this girl proves herself right. Wow, and those who want footage keep calling her Hina, Hina. Who will Hina please in the show? Build your own image, everyone.","एक अक्षर के रूप में मैं हिना खान से नफरत करता हूँ, लेकिन जैसे ही उसने इस घर में अपना आप दिखाया है, मैं उसे सम्मान करता हूँ, भाई चाहे जितनी गलतियाँ करो लड़की अपना आप सही साबित कर देती है..वाह और जिन्हें फुटेज चाहिए वे हिना-हिना करते रहते हैं, हिना किस किस को पालेगी शो में।अपनी छवि बनाओ सब"
49,Salman bahut bda chutiya h. ..sirf shilpa ka side leta h.  Kaaaminaaaa....phone pe bhe shilpa se baat kia.   Chutiya.  I hate this biased show ...abe dhang se host kr.    Isbar unfair #LuvTyagi #eyehinakhan #ipriyanksharma,hate,Salman is such a big asshole... he just takes Shilpa's side. Motherfucker... even talks to Shilpa on the phone. Asshole. I hate this biased show... you better host it properly. This is so unfair #LuvTyagi #eyehinakhan #ipriyanksharma,सलमान बहुत बड़ा चूटिया है।..सिर्फ़ शिल्पा की तरफ़ लेता है।  कामीना....फोन पे भी शिल्पा से बात की।   चूटिया।  मैं इस पक्षपाती शो से नफरत करता हूँ...अब ठीक से होस्ट कर।    यह अन्यायपूर्ण है #LuvTyagi #eyehinakhan #ipriyanksharma
50,Aayega jab take alia ki shaadi age pass aayegi kyuki alia said 30ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,hate,"He will come when Alia's wedding comes up because Alia said she will get married at 30. Varun is such a dog. Natasha dreams of getting married, but Alia is discussing marriage with him. Hate Varun, Alia, Sid, please focus on your careers and don't make films under Alia's banner.","आयेगा जब तक अलिया की शादी आगे पस न आ जाए क्योंकि अलिया ने कहा है कि 30 की होने पर ही वह शादी करेगी। वरुण भी कितना कुत्ता है! नताशा की शादी का सपना इस अलिया के साथ शादी की बात पक्की करके हासिल कर लो, फिर वरुण, अलिया, सिद्धार्थ कृपया करियर पर फोकस करो और अलिया के बैनर से फिल्म मत बनाओ!"
51,"mahajiron se kisi ko bhe nafrat nahe hai,mostly log mohajiron ki tragedy ko samjhte hain.aur ,but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai.",non-hate,No one has any hatred towards the migrants; mostly people understand the tragedy of the migrants. But Altaf Hussain has tarnished the migrant cause with murder and looting.,"महाजिरों से किसी को नफरत नहीं है, अधिकांश लोग महाजिरों की त्रासदी को समझते हैं। लेकिन, अल्ताफ हुसैन ने हत्या और घराटकार के महाजिर कारण को बदनाम कर दिया है।"
52,Haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,non-hate,"Yes, they give the forehead mark but don’t burn them or give them to some baba for raping.","हाँ हम टिलक देकर छोड़ देते हैं, जलाते नहीं हैं और ऑर्टन को या किसी बाबा को रेप करने के लिए नहीं देते हैं"
53,Pata nahi log kyun rape karte he farziwal ke sarkar me har 1 km par spa khula he aap bhi add kar do rape kam hi jayenge,non-hate,"I don't know why people commit rape, in this fake government there's a pub every 1 km, you should also join in, then maybe rape will decrease.","पता नहीं लोग क्यूँ रेप करते हैं, फर्जिवाली सरकार में हर 1 किमी पर स्पा खुला है, आप भी जोड़ दीजिए तो रेप कम ही होंगे"
54,"Ye kasisi sacchai Hai RSS wale Bomb banate Hai aur media Raafiya Naaz ko lekar Muslmano ke khilaf zaher ugalta Hai kub Tak aisa chalega,",hate,"This is the truth, RSS people make bombs and the media spews hatred against Muslims over Raffia Naz, how long will this continue?","ये कितनी सच्चाई है, RSS वाले बम बनाते हैं और मीडिया राफिया नाज़ को लेकर मुस्लिमों के खिलाफ जहर उगलता है, कब तक ऐसा चलेगा"
55,apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll,non-hate,"They are ruining SRK's name for their personal hatred, you bastards...how can anyone support these fanatics, lolll",अपने परसोनल हैट्रेड के लिए सरक का नाम बदनाम कर रहे हैं चुतिये...भक्त्स को सपोर्ट कैसे कर सकता है कोई लोल
56,Red sy kyunky red tumhe meray khoon ki yaad dilay ga <3,non-hate,Red will remind you of my blood <3,लाल क्योंकि लाल तुझे मेरे खून की याद दिला देगा <3
57,"is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai ,or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ,,ye is ghar ki khasiyat hai ..3 people are real..sapna akash or hina.baki sab fake or banwti hai. #BB11",non-hate,"In this house, whoever you feel hatred towards, understand that person does not deserve your hatred but respect, and whoever makes you feel respectful when you see them, know that they are superficial. This is a characteristic of this house...3 people are real...Sapna Akash and Hina. The rest are all fake and created. #BB11","इस घर में जिस इंसान से आपको नफरत हो उसे नफरत का योग्य नहीं है, बल्कि इज्जत का योग्य है, और जिसे देखकर इज्जत का दिल करे समझ लो वह बाहरूपिया है, ये इस घर की ख़ासियत है। 3 लोग असली हैं..सपना, आकाश और हिना।बाकी सब फ़ेक और बनवती है। #BB11"
58,Ek  Ara ke Bjp ke jila mahamantri  Sh.Dhirendra singh se sare aam Road chaap leader Surendra singh or uske bodyguard Rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai .or Hamari BJP ke karya karta aise hi baithe hai.kal ye ghatna aap or Hum  .,non-hate,"One of the BJP's district chief ministers, Mr. Dhirendra Singh, came with the intention of murdering all the common road checkpoint leaders, including Surendra Singh and his bodyguard Rinku Singh, and after attacking them, he left. And our BJP workers just sit there like that. This incident happened yesterday.",एक अरा के बीजेपी के जिला महामंत्री श्री धीरेन्द्र सिंह से सभी आम रोड चाप नेता सुरेन्द्र सिंह और उसके बॉडीगार रिंकु सिंह को हत्या करने के उद्देश्य से आकर मारकर चला गया है। और हमारे भाजपा के कार्यकर्ता ऐसे ही बैठे हैं। कल यह घटना आप और हमें।
59,Pichle 2 month se jio ka net 50K/s se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,non-hate,"For the past 2 months, Jio's internet speed hasn't even been 50K/s; it's impossible to watch anything online without buffering.","पिछले 2 महीनों से जिओ का नेट 50K/s से ज्यादा भी नहीं है, कुछ भी ऑनलाइन देखने के लिए बफरिंग के बिना संभव ही नहीं है।"
60,4G bolkar 2G ka speed mil raha hai ye sara sar dokha hai .I hate jio,hate,"We're getting 2G speeds with 4G, this whole thing is a scam. I hate Jio.","4G कहकर 2G की गति मिल रही है, ये सारा सार डोला है। मैंने जिओ को घृणा की दृष्टि से देखा है।"
61,tujhe murder kar dungi main!,hate,I will kill you!,तुझे मार डालूंगी!
62,I hate weddings ye madrchod log 1 ghante se ghar k niche dhol baja rhe h,hate,"I hate weddings, you motherfuckers have been playing drums downstairs for an hour","मैं शादियों से नफरत करता हूँ, ये मदरचोड़ लोग 1 घंटे से घर के नीचे ढोल बजा रहे हैं।"
